partnership_id,Institution,Provider,invisibility,start_month,start_year,term_primary_contract,last_start_date,end_date_last_contract
118,University of North Texas,Bridge,-999,7,2021,1,2021,2022
119,University of Southern Mississippi,Instructure,-999,,2021,5,2022,2027
120,University of Texas,Alivetek,0,3,2015,5,2015,2020
121,University of Texas,Council for Aid to Education,2,4,2015,5,2016,2020
122,University of Texas at Austin,Trilogy,2,4,2019,6,2019,2023
123,University of Texas at San Antonio,Trilogy,2,2,2018,3,2018,2021
124,University of Vermont,Blackboard,-999,4,2003,888,2003,888
125,University of Vermont,Ed2Go,2,1,2004,888,2004,888
126,University of Vermont,Bisk,2,4,2003,888,2003,888
127,University of Virginia,Noodle Partners,2,8,2018,3,2018,2021
128,University of Washington,Noodle Partners,0,3,2020,4,2020,2024
129,University of West Florida,The Learning House,0,4,2017,5,2018,2023
130,University of West Florida,Academic Partnerships,0,5,2011,5,2015,2020
131,University of Wisconsin,Trilogy,2,5,2018,3,2018,2021
132,University of Wyoming,Wiley,2,8,2020,2,2020,2022
133,Victoria College,Instructure,-999,4,2016,4,2022,2025
134,Victoria College,The Center for Legal Studies,0,8,2018,888,2021,2022
135,Victoria College,Cengage Learning Inc.,0,11,2011,888,2011,888
136,Victoria College,Ed2Go,2,10,1999,888,1999,888
137,Washington State Board for Community and Technical Colleges,Panopto,-999,,2014,3,2021,2024
138,Washington State Board for Community and Technical Colleges,Instructure,-999,6,2012,4,2019,2023
139,Washington State University,Pearson/ EmbanetCompass,2,2,2010,10,2014,2020
140,West Virginia University,Coursera,1,3,2013,3,2016,2022
141,Western New Mexico University,Instructure,-999,4,2022,5,2022,2027
142,Wichita State University,Blackboard,-999,11,2016,3,2020,2021
143,Youngstown State University,Academic Partnerships,1,12,2018,8,2021,2029
144,University of Texas at Austin,Pearson,1,12,2014,888,2022,2025
145,University of West Florida,Wiley,2,8,2021,1,2021,2022
146,University of Rhode Island,Academic Partnerships,1,6,2014,4,2018,2022
147,University of Illinois,Instructure,-999,6,2020,5,2020,2025
148,Southern Illinois University Carbondale,D2L,2,7,2022,2,2022,2024
149,Michigan State University,All Campus,1,,,,,
150,University of California Los Angeles,Instructure,-999,6,2019,3,2022,2025
151,University of Massachussetts,Education Dynamics,,7,2017,2,2017,2021
152,University of California-Irvine,Trilogy,2,11,2016,2,2021,2023
153,University of Nevada Reno,Ed2Go,,5,2017,5,2017,2022
